;;Sexo Trabalhador;Escolaridade após 2005
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;09:Ignorado;09:Ignorado;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;99:Ignorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;99:Ignorado;Total
110020:Porto Velho - RO;Total;276;1.531;1.050;2.578;5.377;4.652;54.299;2.119;18.669;550;233;91.334;133;628;410;1.007;2.967;2.240;44.208;2.305;26.504;518;220;81.140;0;0;409;2.159;1.460;3.585;8.344;6.892;98.507;4.424;45.173;1.068;453;0;172.474
;00:Até 0,50;2;8;5;42;20;181;289;10;33;0;0;590;2;3;8;19;31;178;285;17;38;0;0;581;0;0;4;11;13;61;51;359;574;27;71;0;0;0;1.171
;01:0,51 a 1,00;10;53;67;87;127;341;2.019;83;173;5;1;2.966;13;33;68;57;111;312;2.278;176;360;10;1;3.419;0;0;23;86;135;144;238;653;4.297;259;533;15;2;0;6.385
;02:1,01 a 1,50;106;319;253;732;1.228;1.527;13.597;545;663;19;1;18.990;66;120;117;368;910;883;15.117;802;1.501;10;1;19.895;0;0;172;439;370;1.100;2.138;2.410;28.714;1.347;2.164;29;2;0;38.885
;03:1,51 a 2,00;63;311;230;624;1.136;1.080;11.342;343;868;11;0;16.008;11;62;76;200;488;385;8.193;362;1.738;16;1;11.532;0;0;74;373;306;824;1.624;1.465;19.535;705;2.606;27;1;0;27.540
;04:2,01 a 3,00;31;484;149;421;1.301;581;8.138;354;2.674;29;8;14.170;8;335;58;168;752;114;7.271;357;3.869;26;10;12.968;0;0;39;819;207;589;2.053;695;15.409;711;6.543;55;18;0;27.138
;05:3,01 a 4,00;12;65;63;124;437;196;3.939;223;3.369;34;7;8.469;2;5;8;19;167;26;2.398;162;4.425;33;2;7.247;0;0;14;70;71;143;604;222;6.337;385;7.794;67;9;0;15.716
;06:4,01 a 5,00;3;70;19;128;302;86;5.069;121;2.491;30;6;8.325;1;15;3;30;147;33;3.528;96;6.134;36;16;10.039;0;0;4;85;22;158;449;119;8.597;217;8.625;66;22;0;18.364
;07:5,01 a 7,00;1;37;44;42;128;68;3.258;135;2.490;58;8;6.269;1;11;19;6;60;17;1.314;79;3.831;77;11;5.426;0;0;2;48;63;48;188;85;4.572;214;6.321;135;19;0;11.695
;08:7,01 a 10,00;1;9;20;30;70;37;1.225;76;1.754;125;59;3.406;0;2;3;4;14;4;333;34;1.515;132;63;2.104;0;0;1;11;23;34;84;41;1.558;110;3.269;257;122;0;5.510
;09:10,01 a 15,00;2;6;7;9;83;34;654;52;1.907;153;96;3.003;0;2;1;5;42;12;256;19;1.502;130;89;2.058;0;0;2;8;8;14;125;46;910;71;3.409;283;185;0;5.061
;10:15,01 a 20,00;1;7;4;8;26;25;361;15;890;17;17;1.371;1;2;0;5;9;13;126;11;473;11;13;664;0;0;2;9;4;13;35;38;487;26;1.363;28;30;0;2.035
;11:Mais de 20,00;0;4;1;6;34;26;414;37;1.031;44;24;1.621;0;1;1;1;3;5;111;14;500;19;6;661;0;0;0;5;2;7;37;31;525;51;1.531;63;30;0;2.282
;{ñ class};44;158;188;325;485;470;3.994;125;326;25;6;6.146;28;37;48;125;233;258;2.998;176;618;18;7;4.546;0;0;72;195;236;450;718;728;6.992;301;944;43;13;0;10.692
120040:Rio Branco - AC;Total;187;1.187;592;1.345;2.695;1.952;33.055;1.668;14.461;694;222;58.058;50;472;301;749;1.473;950;23.764;1.888;22.438;848;162;53.095;0;0;237;1.659;893;2.094;4.168;2.902;56.819;3.556;36.899;1.542;384;0;111.153
;00:Até 0,50;0;6;4;22;19;141;246;12;26;2;0;478;0;2;3;19;10;153;181;14;19;1;0;402;0;0;0;8;7;41;29;294;427;26;45;3;0;0;880
;01:0,51 a 1,00;25;94;51;66;193;194;3.063;87;135;7;0;3.915;12;38;19;29;145;118;2.759;140;271;3;0;3.534;0;0;37;132;70;95;338;312;5.822;227;406;10;0;0;7.449
;02:1,01 a 1,50;90;447;235;390;997;631;12.402;497;626;7;1;16.323;25;162;179;239;608;366;10.704;790;1.634;9;2;14.718;0;0;115;609;414;629;1.605;997;23.106;1.287;2.260;16;3;0;31.041
;03:1,51 a 2,00;39;228;103;305;545;391;5.532;244;586;8;2;7.983;3;76;21;137;259;91;3.173;299;1.344;7;3;5.413;0;0;42;304;124;442;804;482;8.705;543;1.930;15;5;0;13.396
;04:2,01 a 3,00;5;137;58;242;335;224;3.813;234;2.863;41;9;7.961;1;79;9;173;178;61;2.656;255;6.845;78;7;10.342;0;0;6;216;67;415;513;285;6.469;489;9.708;119;16;0;18.303
;05:3,01 a 4,00;1;39;14;71;84;50;1.393;128;1.815;68;7;3.670;1;25;0;39;60;17;1.514;151;4.014;102;15;5.938;0;0;2;64;14;110;144;67;2.907;279;5.829;170;22;0;9.608
;06:4,01 a 5,00;0;20;4;74;76;28;1.083;141;1.583;51;12;3.072;0;3;0;4;19;9;372;69;2.465;91;14;3.046;0;0;0;23;4;78;95;37;1.455;210;4.048;142;26;0;6.118
;07:5,01 a 7,00;0;15;13;22;42;16;1.116;155;2.906;162;18;4.465;0;2;4;2;10;3;212;41;2.496;202;13;2.985;0;0;0;17;17;24;52;19;1.328;196;5.402;364;31;0;7.450
;08:7,01 a 10,00;0;12;2;7;27;8;416;41;1.620;171;66;2.370;0;0;0;1;2;1;109;10;1.698;203;60;2.084;0;0;0;12;2;8;29;9;525;51;3.318;374;126;0;4.454
;09:10,01 a 15,00;5;16;12;17;28;18;314;32;1.169;86;47;1.744;0;2;2;4;7;6;106;8;843;100;31;1.109;0;0;5;18;14;21;35;24;420;40;2.012;186;78;0;2.853
;10:15,01 a 20,00;1;1;6;6;9;9;135;9;431;34;14;655;0;0;0;0;0;0;35;4;238;14;4;295;0;0;1;1;6;6;9;9;170;13;669;48;18;0;950
;11:Mais de 20,00;0;2;3;7;7;5;109;15;480;45;31;704;0;0;0;0;0;0;31;16;239;30;8;324;0;0;0;2;3;7;7;5;140;31;719;75;39;0;1.028
;{ñ class};21;170;87;116;333;237;3.433;73;221;12;15;4.718;8;83;64;102;175;125;1.912;91;332;8;5;2.905;0;0;29;253;151;218;508;362;5.345;164;553;20;20;0;7.623
130260:Manaus - AM;Total;523;3.622;2.431;7.921;17.879;13.293;219.519;11.124;53.156;1.737;5.742;336.947;221;1.430;1.057;3.050;7.563;6.225;137.521;9.257;73.660;1.399;4.426;245.809;1;1;744;5.052;3.488;10.971;25.442;19.518;357.040;20.381;126.816;3.136;10.168;1;582.757
;00:Até 0,50;1;20;26;149;145;1.084;2.264;96;138;13;9;3.945;2;15;11;75;100;844;1.873;95;179;20;14;3.228;0;0;3;35;37;224;245;1.928;4.137;191;317;33;23;0;7.173
;01:0,51 a 1,00;42;150;133;422;1.072;1.587;11.900;395;668;61;24;16.454;26;73;81;250;577;1.227;10.250;537;1.272;65;25;14.383;0;0;68;223;214;672;1.649;2.814;22.150;932;1.940;126;49;0;30.837
;02:1,01 a 1,50;253;1.108;793;2.917;5.959;4.374;71.041;2.202;2.889;94;42;91.672;108;787;537;1.419;3.337;2.341;58.161;2.842;5.660;73;42;75.307;0;0;361;1.895;1.330;4.336;9.296;6.715;129.202;5.044;8.549;167;84;0;166.979
;03:1,51 a 2,00;83;1.047;640;1.801;3.775;2.172;48.760;1.484;3.584;74;78;63.498;28;257;266;674;2.022;755;28.409;1.531;5.772;69;70;39.853;0;0;111;1.304;906;2.475;5.797;2.927;77.169;3.015;9.356;143;148;0;103.351
;04:2,01 a 3,00;60;704;388;1.202;3.034;1.545;37.908;2.409;11.477;126;378;59.231;10;130;68;256;618;332;18.137;1.686;18.956;148;1.004;41.345;0;0;70;834;456;1.458;3.652;1.877;56.045;4.095;30.433;274;1.382;0;100.576
;05:3,01 a 4,00;12;118;109;301;892;405;11.625;1.380;6.085;128;280;21.335;3;27;10;66;160;101;4.198;778;10.462;133;562;16.500;0;0;15;145;119;367;1.052;506;15.823;2.158;16.547;261;842;0;37.835
;06:4,01 a 5,00;0;32;27;128;443;265;5.995;720;5.801;95;249;13.755;3;9;5;19;86;38;2.109;415;9.310;111;411;12.516;0;0;3;41;32;147;529;303;8.104;1.135;15.111;206;660;0;26.271
;07:5,01 a 7,00;6;34;17;86;256;183;6.688;828;6.124;232;941;15.395;3;10;3;22;43;30;2.409;349;8.639;224;759;12.491;0;0;9;44;20;108;299;213;9.097;1.177;14.763;456;1.700;0;27.886
;08:7,01 a 10,00;2;22;8;56;305;257;4.168;555;5.560;253;2.244;13.430;1;6;3;8;39;36;1.397;219;5.524;183;781;8.197;0;0;3;28;11;64;344;293;5.565;774;11.084;436;3.025;0;21.627
;09:10,01 a 15,00;0;18;11;54;239;126;2.083;294;4.407;297;588;8.117;1;11;1;10;38;22;920;148;2.962;148;399;4.660;0;0;1;29;12;64;277;148;3.003;442;7.369;445;987;0;12.777
;10:15,01 a 20,00;0;7;4;23;75;39;929;137;2.269;119;419;4.021;0;0;1;1;11;13;469;58;1.415;49;166;2.183;0;0;0;7;5;24;86;52;1.398;195;3.684;168;585;0;6.204
;11:Mais de 20,00;0;6;12;20;67;42;842;153;2.788;120;435;4.485;1;2;3;3;6;10;386;96;1.596;54;153;2.310;0;0;1;8;15;23;73;52;1.228;249;4.384;174;588;0;6.795
;{ñ class};64;356;263;762;1.617;1.214;15.316;471;1.366;125;55;21.609;35;103;68;247;526;476;8.803;503;1.913;122;40;12.836;1;1;99;459;331;1.009;2.143;1.690;24.119;974;3.279;247;95;1;34.446
140010:Boa Vista - RR;Total;184;567;505;1.228;3.293;2.183;29.774;1.172;5.981;420;1.102;46.409;91;217;203;551;1.823;1.079;23.192;1.444;9.370;476;2.954;41.400;0;0;275;784;708;1.779;5.116;3.262;52.966;2.616;15.351;896;4.056;0;87.809
;00:Até 0,50;0;2;4;30;12;151;268;8;23;2;0;500;0;2;2;18;10;160;221;14;35;3;4;469;0;0;0;4;6;48;22;311;489;22;58;5;4;0;969
;01:0,51 a 1,00;19;33;22;101;269;395;2.773;112;188;6;5;3.923;14;12;11;56;172;257;2.835;185;376;11;6;3.935;0;0;33;45;33;157;441;652;5.608;297;564;17;11;0;7.858
;02:1,01 a 1,50;93;174;215;381;1.166;835;13.197;379;611;15;49;17.115;44;94;147;225;952;476;12.224;509;1.323;19;168;16.181;0;0;137;268;362;606;2.118;1.311;25.421;888;1.934;34;217;0;33.296
;03:1,51 a 2,00;27;70;94;175;553;357;5.039;175;412;12;64;6.978;9;10;7;21;62;64;2.484;214;986;20;185;4.062;0;0;36;80;101;196;615;421;7.523;389;1.398;32;249;0;11.040
;04:2,01 a 3,00;15;135;52;232;607;153;2.823;172;673;21;173;5.056;4;53;10;95;297;29;1.646;192;1.517;54;693;4.590;0;0;19;188;62;327;904;182;4.469;364;2.190;75;866;0;9.646
;05:3,01 a 4,00;0;47;17;81;200;38;1.283;106;614;25;213;2.624;3;14;6;57;97;9;999;108;1.334;43;863;3.533;0;0;3;61;23;138;297;47;2.282;214;1.948;68;1.076;0;6.157
;06:4,01 a 5,00;0;29;14;90;154;35;781;58;531;25;108;1.825;0;9;1;32;86;5;444;55;831;41;456;1.960;0;0;0;38;15;122;240;40;1.225;113;1.362;66;564;0;3.785
;07:5,01 a 7,00;1;14;27;26;44;22;572;42;617;52;119;1.536;0;0;0;1;5;3;287;38;850;55;217;1.456;0;0;1;14;27;27;49;25;859;80;1.467;107;336;0;2.992
;08:7,01 a 10,00;2;6;22;19;31;25;424;30;646;83;159;1.447;0;0;1;0;7;1;183;17;762;92;179;1.242;0;0;2;6;23;19;38;26;607;47;1.408;175;338;0;2.689
;09:10,01 a 15,00;0;4;6;11;23;12;257;19;789;93;138;1.352;0;0;1;1;6;1;140;10;655;92;125;1.031;0;0;0;4;7;12;29;13;397;29;1.444;185;263;0;2.383
;10:15,01 a 20,00;0;1;6;5;13;3;129;4;325;37;36;559;0;0;3;5;6;1;75;10;209;23;34;366;0;0;0;1;9;10;19;4;204;14;534;60;70;0;925
;11:Mais de 20,00;0;2;0;5;10;11;164;7;356;46;36;637;0;0;0;3;1;1;59;14;211;15;23;327;0;0;0;2;0;8;11;12;223;21;567;61;59;0;964
;{ñ class};27;50;26;72;211;146;2.064;60;196;3;2;2.857;17;23;14;37;122;72;1.595;78;281;8;1;2.248;0;0;44;73;40;109;333;218;3.659;138;477;11;3;0;5.105
150140:Belém - PA;Total;810;2.496;2.158;8.633;22.573;12.013;140.019;7.019;51.493;1.880;1.112;250.206;190;464;472;2.915;8.783;4.567;88.821;6.030;67.538;2.945;967;183.692;1;1;1.000;2.960;2.630;11.548;31.356;16.580;228.840;13.049;119.031;4.825;2.079;1;433.899
;00:Até 0,50;3;12;20;61;81;547;1.062;77;468;25;5;2.361;1;2;8;42;65;398;1.203;68;334;22;15;2.158;0;0;4;14;28;103;146;945;2.265;145;802;47;20;0;4.519
;01:0,51 a 1,00;52;169;128;314;788;890;7.050;379;1.283;31;14;11.098;18;50;71;156;464;635;6.620;551;1.319;58;9;9.951;0;0;70;219;199;470;1.252;1.525;13.670;930;2.602;89;23;0;21.049
;02:1,01 a 1,50;230;1.037;751;2.828;8.187;4.217;45.160;1.494;2.679;51;19;66.653;96;302;243;1.538;5.268;2.034;39.108;1.943;5.053;77;17;55.679;0;0;326;1.339;994;4.366;13.455;6.251;84.268;3.437;7.732;128;36;0;122.332
;03:1,51 a 2,00;102;502;499;2.203;4.414;2.214;29.337;1.179;2.519;75;11;43.055;29;36;39;673;1.325;626;16.328;1.057;4.185;115;9;24.422;0;0;131;538;538;2.876;5.739;2.840;45.665;2.236;6.704;190;20;0;67.477
;04:2,01 a 3,00;32;237;238;1.115;3.137;1.226;20.510;1.152;4.564;174;35;32.420;8;7;10;159;662;251;9.321;775;7.361;325;36;18.915;0;0;40;244;248;1.274;3.799;1.477;29.831;1.927;11.925;499;71;0;51.335
;05:3,01 a 4,00;6;75;63;315;1.256;384;12.523;931;4.796;203;33;20.585;2;5;4;63;240;84;4.326;422;7.259;319;27;12.751;0;0;8;80;67;378;1.496;468;16.849;1.353;12.055;522;60;0;33.336
;06:4,01 a 5,00;6;36;30;270;1.392;542;8.685;390;4.069;136;36;15.592;4;3;2;34;111;57;2.195;215;6.955;314;58;9.948;0;0;10;39;32;304;1.503;599;10.880;605;11.024;450;94;0;25.540
;07:5,01 a 7,00;5;55;20;159;492;253;2.984;488;6.951;301;60;11.768;0;7;4;22;66;61;1.847;254;10.897;631;68;13.857;0;0;5;62;24;181;558;314;4.831;742;17.848;932;128;0;25.625
;08:7,01 a 10,00;4;43;26;160;291;368;1.975;252;9.887;369;366;13.741;1;1;3;6;27;16;1.114;254;12.453;631;314;14.820;0;0;5;44;29;166;318;384;3.089;506;22.340;1.000;680;0;28.561
;09:10,01 a 15,00;3;41;19;144;288;143;1.557;180;6.828;265;340;9.808;2;8;8;29;46;18;747;104;5.879;231;283;7.355;0;0;5;49;27;173;334;161;2.304;284;12.707;496;623;0;17.163
;10:15,01 a 20,00;2;10;8;39;84;30;573;57;2.589;74;90;3.556;0;0;0;3;9;7;627;35;1.854;57;52;2.644;0;0;2;10;8;42;93;37;1.200;92;4.443;131;142;0;6.200
;11:Mais de 20,00;3;7;10;63;94;54;620;119;3.429;108;89;4.596;0;1;1;6;16;3;497;64;2.280;77;57;3.002;0;0;3;8;11;69;110;57;1.117;183;5.709;185;146;0;7.598
;{ñ class};362;272;346;962;2.069;1.145;7.983;321;1.431;68;14;14.973;29;42;79;184;484;377;4.888;288;1.709;88;22;8.190;1;1;391;314;425;1.146;2.553;1.522;12.871;609;3.140;156;36;1;23.164
160030:Macapá - AP;Total;170;680;413;1.449;3.428;2.394;28.925;1.416;21.135;473;254;60.737;76;309;136;669;1.955;1.035;19.914;1.473;27.225;456;200;53.448;0;0;246;989;549;2.118;5.383;3.429;48.839;2.889;48.360;929;454;0;114.185
;00:Até 0,50;2;3;0;16;11;52;173;18;169;1;0;445;0;1;0;6;8;52;164;25;207;1;0;464;0;0;2;4;0;22;19;104;337;43;376;2;0;0;909
;01:0,51 a 1,00;23;34;32;95;223;247;2.759;106;587;9;1;4.116;4;8;8;32;102;127;2.180;173;991;5;1;3.631;0;0;27;42;40;127;325;374;4.939;279;1.578;14;2;0;7.747
;02:1,01 a 1,50;96;285;194;527;1.396;1.264;12.488;488;1.100;15;2;17.855;62;211;112;411;1.014;660;10.227;593;1.721;11;1;15.023;0;0;158;496;306;938;2.410;1.924;22.715;1.081;2.821;26;3;0;32.878
;03:1,51 a 2,00;22;93;66;196;396;311;4.220;233;1.090;10;3;6.640;1;3;3;16;52;52;2.147;225;1.651;13;3;4.166;0;0;23;96;69;212;448;363;6.367;458;2.741;23;6;0;10.806
;04:2,01 a 3,00;9;120;41;188;560;173;3.334;184;2.057;20;4;6.690;1;56;1;98;433;26;1.317;162;2.475;16;3;4.588;0;0;10;176;42;286;993;199;4.651;346;4.532;36;7;0;11.278
;05:3,01 a 4,00;3;32;8;76;187;38;1.365;87;2.309;40;5;4.150;0;8;0;40;120;4;1.022;52;3.793;42;2;5.083;0;0;3;40;8;116;307;42;2.387;139;6.102;82;7;0;9.233
;06:4,01 a 5,00;0;25;2;153;163;11;832;30;2.396;17;12;3.641;1;2;0;15;65;1;504;24;2.683;21;4;3.320;0;0;1;27;2;168;228;12;1.336;54;5.079;38;16;0;6.961
;07:5,01 a 7,00;0;4;12;18;37;27;385;42;4.472;84;10;5.091;0;0;0;0;13;4;297;25;6.475;105;9;6.928;0;0;0;4;12;18;50;31;682;67;10.947;189;19;0;12.019
;08:7,01 a 10,00;0;3;5;5;42;23;371;53;3.151;126;34;3.813;1;1;1;0;7;2;173;33;3.865;121;43;4.247;0;0;1;4;6;5;49;25;544;86;7.016;247;77;0;8.060
;09:10,01 a 15,00;0;11;7;22;44;24;343;35;1.719;91;123;2.419;0;1;0;2;6;3;159;28;1.789;78;100;2.166;0;0;0;12;7;24;50;27;502;63;3.508;169;223;0;4.585
;10:15,01 a 20,00;0;4;0;14;31;6;286;8;689;26;42;1.106;0;0;0;1;6;0;105;12;417;24;23;588;0;0;0;4;0;15;37;6;391;20;1.106;50;65;0;1.694
;11:Mais de 20,00;1;6;3;17;4;11;175;24;1.023;25;18;1.307;0;0;0;0;1;0;58;11;548;9;11;638;0;0;1;6;3;17;5;11;233;35;1.571;34;29;0;1.945
;{ñ class};14;60;43;122;334;207;2.194;108;373;9;0;3.464;6;18;11;48;128;104;1.561;110;610;10;0;2.606;0;0;20;78;54;170;462;311;3.755;218;983;19;0;0;6.070
172100:Palmas - TO;Total;116;2.764;278;805;2.330;2.314;39.792;1.785;20.139;734;449;71.506;75;3.453;88;263;1.355;1.329;34.350;2.306;32.026;684;463;76.392;0;0;191;6.217;366;1.068;3.685;3.643;74.142;4.091;52.165;1.418;912;0;147.898
;00:Até 0,50;0;0;0;34;10;334;244;19;27;2;0;670;0;2;0;19;21;368;336;26;57;0;0;829;0;0;0;2;0;53;31;702;580;45;84;2;0;0;1.499
;01:0,51 a 1,00;12;1.970;20;84;278;305;2.982;107;186;9;2;5.955;15;3.098;4;41;266;258;4.316;184;334;4;2;8.522;0;0;27;5.068;24;125;544;563;7.298;291;520;13;4;0;14.477
;02:1,01 a 1,50;54;373;86;256;634;720;12.991;517;760;11;5;16.407;41;228;43;138;505;455;15.455;942;1.849;9;4;19.669;0;0;95;601;129;394;1.139;1.175;28.446;1.459;2.609;20;9;0;36.076
;03:1,51 a 2,00;19;152;52;139;492;365;6.895;310;808;7;1;9.240;8;43;11;19;311;94;4.624;406;1.655;14;1;7.186;0;0;27;195;63;158;803;459;11.519;716;2.463;21;2;0;16.426
;04:2,01 a 3,00;20;125;57;132;435;294;6.743;300;2.604;56;11;10.777;4;52;1;5;114;37;4.158;331;6.693;57;18;11.470;0;0;24;177;58;137;549;331;10.901;631;9.297;113;29;0;22.247
;05:3,01 a 4,00;1;40;5;39;185;81;2.508;130;3.674;80;16;6.759;0;9;1;2;14;9;1.460;111;7.061;72;15;8.754;0;0;1;49;6;41;199;90;3.968;241;10.735;152;31;0;15.513
;06:4,01 a 5,00;1;17;2;16;40;34;1.405;90;2.225;73;14;3.917;0;1;0;2;7;3;704;53;4.111;93;18;4.992;0;0;1;18;2;18;47;37;2.109;143;6.336;166;32;0;8.909
;07:5,01 a 7,00;0;10;4;8;27;21;1.132;104;2.568;112;56;4.042;0;5;2;2;31;3;818;52;4.387;124;60;5.484;0;0;0;15;6;10;58;24;1.950;156;6.955;236;116;0;9.526
;08:7,01 a 10,00;0;10;4;2;13;10;1.255;50;2.354;124;103;3.925;0;1;3;4;3;4;291;23;2.329;130;123;2.911;0;0;0;11;7;6;16;14;1.546;73;4.683;254;226;0;6.836
;09:10,01 a 15,00;0;5;5;2;9;13;845;29;2.106;172;158;3.344;1;2;5;4;6;6;178;17;1.675;128;178;2.200;0;0;1;7;10;6;15;19;1.023;46;3.781;300;336;0;5.544
;10:15,01 a 20,00;1;1;3;3;5;4;221;16;1.317;42;60;1.673;0;1;0;0;6;0;54;11;773;24;26;895;0;0;1;2;3;3;11;4;275;27;2.090;66;86;0;2.568
;11:Mais de 20,00;0;0;1;3;10;4;144;31;1.303;38;20;1.554;0;0;0;0;2;0;68;14;769;22;16;891;0;0;0;0;1;3;12;4;212;45;2.072;60;36;0;2.445
;{ñ class};8;61;39;87;192;129;2.427;82;207;8;3;3.243;6;11;18;27;69;92;1.888;136;333;7;2;2.589;0;0;14;72;57;114;261;221;4.315;218;540;15;5;0;5.832
211130:São Luiz - MA;Total;600;2.360;2.594;3.831;11.019;5.755;140.251;6.141;40.503;970;949;214.973;233;612;790;1.033;3.130;2.368;96.025;6.091;63.898;1.357;3.553;179.090;0;0;833;2.972;3.384;4.864;14.149;8.123;236.276;12.232;104.401;2.327;4.502;0;394.063
;00:Até 0,50;14;7;7;32;76;88;922;54;139;4;0;1.343;3;7;5;36;33;62;978;20;141;11;1;1.297;0;0;17;14;12;68;109;150;1.900;74;280;15;1;0;2.640
;01:0,51 a 1,00;60;125;105;316;684;582;8.239;448;713;31;7;11.310;13;28;36;215;324;458;8.292;362;1.316;34;12;11.090;0;0;73;153;141;531;1.008;1.040;16.531;810;2.029;65;19;0;22.400
;02:1,01 a 1,50;204;811;800;1.341;4.297;2.339;52.241;1.252;2.536;42;87;65.950;139;280;331;549;1.767;1.285;51.174;2.076;6.471;89;344;64.505;0;0;343;1.091;1.131;1.890;6.064;3.624;103.415;3.328;9.007;131;431;0;130.455
;03:1,51 a 2,00;122;463;511;707;2.402;990;24.623;723;4.472;59;41;35.113;20;154;172;77;406;205;13.752;1.031;9.145;85;155;25.202;0;0;142;617;683;784;2.808;1.195;38.375;1.754;13.617;144;196;0;60.315
;04:2,01 a 3,00;84;374;479;413;1.234;663;19.642;911;5.841;131;280;30.052;26;65;136;11;147;89;8.114;1.017;11.768;206;727;22.306;0;0;110;439;615;424;1.381;752;27.756;1.928;17.609;337;1.007;0;52.358
;05:3,01 a 4,00;17;61;123;123;355;157;6.903;418;6.945;114;179;15.395;6;6;15;5;32;23;2.041;334;11.790;227;736;15.215;0;0;23;67;138;128;387;180;8.944;752;18.735;341;915;0;30.610
;06:4,01 a 5,00;9;42;54;99;250;67;7.448;895;3.784;82;82;12.812;1;3;4;4;17;14;1.539;272;8.122;172;872;11.020;0;0;10;45;58;103;267;81;8.987;1.167;11.906;254;954;0;23.832
;07:5,01 a 7,00;10;68;105;90;188;104;4.437;459;5.391;117;56;11.025;4;8;16;18;51;8;973;208;5.713;157;271;7.427;0;0;14;76;121;108;239;112;5.410;667;11.104;274;327;0;18.452
;08:7,01 a 10,00;5;75;65;63;115;77;3.130;303;3.544;129;86;7.592;0;11;3;7;31;10;763;116;3.607;171;323;5.042;0;0;5;86;68;70;146;87;3.893;419;7.151;300;409;0;12.634
;09:10,01 a 15,00;3;44;36;73;101;43;1.601;224;2.617;146;56;4.944;5;5;6;8;21;6;628;93;1.695;105;53;2.625;0;0;8;49;42;81;122;49;2.229;317;4.312;251;109;0;7.569
;10:15,01 a 20,00;0;18;11;37;37;25;715;84;1.414;37;37;2.415;1;0;1;0;5;5;430;61;787;43;25;1.358;0;0;1;18;12;37;42;30;1.145;145;2.201;80;62;0;3.773
;11:Mais de 20,00;3;18;4;26;44;36;633;92;1.998;36;33;2.923;0;0;0;1;2;3;178;59;1.107;22;25;1.397;0;0;3;18;4;27;46;39;811;151;3.105;58;58;0;4.320
