;;Sexo Trabalhador;Escolaridade após 2005
;{ñ class};69;254;294;511;1.236;584;9.717;278;1.109;42;5;14.099;15;45;65;102;294;200;7.163;442;2.236;35;9;10.606;0;0;84;299;359;613;1.530;784;16.880;720;3.345;77;14;0;24.705
221100:Terezina - PI;Total;863;5.050;2.594;5.970;12.993;9.574;80.321;5.806;26.750;4.525;504;154.950;429;1.420;469;1.513;4.411;3.745;57.736;5.889;35.882;7.907;439;119.840;0;0;1.292;6.470;3.063;7.483;17.404;13.319;138.057;11.695;62.632;12.432;943;0;274.790
;00:Até 0,50;4;12;15;54;74;418;826;43;272;3;1;1.722;2;5;6;27;37;391;820;53;185;3;1;1.530;0;0;6;17;21;81;111;809;1.646;96;457;6;2;0;3.252
;01:0,51 a 1,00;57;261;180;485;978;848;6.858;300;823;31;5;10.826;16;58;30;143;339;378;6.021;415;1.265;40;7;8.712;0;0;73;319;210;628;1.317;1.226;12.879;715;2.088;71;12;0;19.538
;02:1,01 a 1,50;469;2.234;1.219;2.850;6.436;4.658;37.980;1.811;3.321;150;6;61.134;316;988;328;1.103;2.821;2.168;31.459;2.614;6.522;266;8;48.593;0;0;785;3.222;1.547;3.953;9.257;6.826;69.439;4.425;9.843;416;14;0;109.727
;03:1,51 a 2,00;98;588;404;857;1.925;1.350;12.520;883;2.706;451;13;21.795;40;165;24;67;399;273;6.054;957;4.104;1.000;11;13.094;0;0;138;753;428;924;2.324;1.623;18.574;1.840;6.810;1.451;24;0;34.889
;04:2,01 a 3,00;42;443;199;453;1.081;599;7.695;771;3.151;243;18;14.695;14;75;6;37;229;105;5.566;789;5.346;557;20;12.744;0;0;56;518;205;490;1.310;704;13.261;1.560;8.497;800;38;0;27.439
;05:3,01 a 4,00;19;460;42;81;508;325;3.354;986;3.935;1.544;26;11.280;14;41;2;12;100;50;1.652;393;5.381;3.582;27;11.254;0;0;33;501;44;93;608;375;5.006;1.379;9.316;5.126;53;0;22.534
;06:4,01 a 5,00;14;193;27;74;243;142;1.313;242;1.613;396;40;4.297;3;8;1;3;42;17;511;121;2.297;1.032;41;4.076;0;0;17;201;28;77;285;159;1.824;363;3.910;1.428;81;0;8.373
;07:5,01 a 7,00;16;117;48;86;141;92;959;172;2.097;293;31;4.052;5;7;1;3;32;16;492;95;3.760;507;35;4.953;0;0;21;124;49;89;173;108;1.451;267;5.857;800;66;0;9.005
;08:7,01 a 10,00;17;202;37;83;256;130;1.422;195;2.821;517;84;5.764;0;16;2;2;36;17;817;108;2.558;435;72;4.063;0;0;17;218;39;85;292;147;2.239;303;5.379;952;156;0;9.827
;09:10,01 a 15,00;16;84;25;51;151;91;1.079;129;2.896;573;177;5.272;0;4;4;6;18;19;646;68;2.020;352;166;3.303;0;0;16;88;29;57;169;110;1.725;197;4.916;925;343;0;8.575
;10:15,01 a 20,00;2;9;6;14;28;23;311;43;1.179;113;46;1.774;0;0;1;1;5;2;174;29;824;36;30;1.102;0;0;2;9;7;15;33;25;485;72;2.003;149;76;0;2.876
;11:Mais de 20,00;1;7;10;8;19;17;311;57;1.210;200;50;1.890;1;0;0;0;4;1;121;44;770;82;17;1.040;0;0;2;7;10;8;23;18;432;101;1.980;282;67;0;2.930
;{ñ class};108;440;382;874;1.153;881;5.693;174;726;11;7;10.449;18;53;64;109;349;308;3.403;203;850;15;4;5.376;0;0;126;493;446;983;1.502;1.189;9.096;377;1.576;26;11;0;15.825
230440:Fortaleza - CE;Total;1.703;9.523;5.995;19.307;34.831;21.480;282.257;20.444;65.710;3.073;1.469;465.792;397;2.114;1.660;6.318;12.793;9.402;205.504;19.305;100.589;3.450;1.501;363.033;2;2;2.100;11.637;7.655;25.625;47.624;30.882;487.761;39.749;166.299;6.523;2.970;2;828.827
;00:Até 0,50;7;28;24;105;175;409;3.380;325;622;42;11;5.128;5;34;21;61;162;381;3.540;317;598;28;7;5.154;0;0;12;62;45;166;337;790;6.920;642;1.220;70;18;0;10.282
;01:0,51 a 1,00;157;625;390;1.324;2.528;1.966;22.307;1.152;2.173;147;31;32.800;48;313;156;811;1.681;1.343;23.848;1.665;3.193;135;41;33.234;0;0;205;938;546;2.135;4.209;3.309;46.155;2.817;5.366;282;72;0;66.034
;02:1,01 a 1,50;983;4.292;2.762;9.531;17.055;10.966;116.494;4.713;5.727;161;51;172.735;273;1.313;1.193;4.129;8.312;5.564;102.510;6.886;13.005;164;54;143.403;0;0;1.256;5.605;3.955;13.660;25.367;16.530;219.004;11.599;18.732;325;105;0;316.138
;03:1,51 a 2,00;223;2.003;1.192;3.565;6.275;3.362;42.926;2.611;4.420;121;32;66.730;18;162;71;341;760;655;23.335;3.105;8.848;163;28;37.486;0;0;241;2.165;1.263;3.906;7.035;4.017;66.261;5.716;13.268;284;60;0;104.216
;04:2,01 a 3,00;84;929;630;2.031;3.451;1.835;34.100;3.681;8.539;234;81;55.595;13;61;16;322;284;277;19.886;3.113;17.050;290;79;41.391;0;0;97;990;646;2.353;3.735;2.112;53.986;6.794;25.589;524;160;0;96.986
;05:3,01 a 4,00;12;233;102;387;679;357;11.970;2.106;6.880;297;58;23.081;2;40;12;84;120;123;6.934;1.309;11.876;313;81;20.894;0;0;14;273;114;471;799;480;18.904;3.415;18.756;610;139;0;43.975
;06:4,01 a 5,00;8;108;52;173;417;154;13.451;2.323;5.809;224;83;22.802;0;7;7;27;77;46;4.151;762;10.449;310;115;15.951;0;0;8;115;59;200;494;200;17.602;3.085;16.258;534;198;0;38.753
;07:5,01 a 7,00;12;98;49;172;400;176;11.482;1.527;7.634;400;136;22.086;0;7;4;31;97;98;4.270;675;10.568;492;163;16.405;0;0;12;105;53;203;497;274;15.752;2.202;18.202;892;299;0;38.491
;08:7,01 a 10,00;12;65;30;98;163;132;4.505;576;7.596;442;265;13.884;2;5;4;13;42;40;2.336;250;10.600;680;320;14.292;0;0;14;70;34;111;205;172;6.841;826;18.196;1.122;585;0;28.176
;09:10,01 a 15,00;12;49;21;87;164;115;2.676;336;6.988;369;392;11.209;1;9;3;29;50;58;1.401;164;6.441;443;370;8.969;0;0;13;58;24;116;214;173;4.077;500;13.429;812;762;0;20.178
;10:15,01 a 20,00;4;22;13;42;71;41;1.057;116;3.232;206;176;4.980;1;3;2;3;7;12;531;66;2.196;168;135;3.124;0;0;5;25;15;45;78;53;1.588;182;5.428;374;311;0;8.104
;11:Mais de 20,00;1;53;50;72;126;66;1.069;212;4.196;314;109;6.268;0;0;0;3;3;10;465;129;2.657;151;61;3.479;0;0;1;53;50;75;129;76;1.534;341;6.853;465;170;0;9.747
;{ñ class};188;1.018;680;1.720;3.327;1.901;16.840;766;1.894;116;44;28.494;34;160;171;464;1.198;795;12.297;864;3.108;113;47;19.251;2;2;222;1.178;851;2.184;4.525;2.696;29.137;1.630;5.002;229;91;2;47.747
240810:Natal - RN;Total;807;2.882;2.766;7.286;9.706;10.873;93.857;4.936;35.775;1.375;674;170.937;387;1.031;1.023;3.644;3.809;5.251;67.095;5.006;47.050;1.268;526;136.090;0;0;1.194;3.913;3.789;10.930;13.515;16.124;160.952;9.942;82.825;2.643;1.200;0;307.027
;00:Até 0,50;11;16;16;69;67;369;1.131;59;292;14;1;2.045;55;4;12;64;47;403;1.292;89;253;18;4;2.241;0;0;66;20;28;133;114;772;2.423;148;545;32;5;0;4.286
;01:0,51 a 1,00;68;195;121;378;774;750;6.473;311;1.022;58;8;10.158;73;66;53;246;396;594;6.405;496;1.249;46;11;9.635;0;0;141;261;174;624;1.170;1.344;12.878;807;2.271;104;19;0;19.793
;02:1,01 a 1,50;345;1.534;991;2.716;3.911;4.429;37.343;1.175;2.159;57;10;54.670;141;745;595;1.699;2.306;3.113;33.414;1.804;4.752;64;16;48.649;0;0;486;2.279;1.586;4.415;6.217;7.542;70.757;2.979;6.911;121;26;0;103.319
;03:1,51 a 2,00;81;396;471;1.244;1.809;1.546;15.512;851;1.853;41;9;23.813;28;36;130;532;270;368;8.615;734;3.099;58;14;13.884;0;0;109;432;601;1.776;2.079;1.914;24.127;1.585;4.952;99;23;0;37.697
;04:2,01 a 3,00;87;220;427;813;1.135;870;10.735;800;4.113;109;25;19.334;21;14;55;226;271;158;5.973;706;7.851;167;27;15.469;0;0;108;234;482;1.039;1.406;1.028;16.708;1.506;11.964;276;52;0;34.803
;05:3,01 a 4,00;85;42;121;323;421;272;3.442;575;7.426;127;19;12.853;13;5;14;226;44;66;1.985;475;10.772;180;27;13.807;0;0;98;47;135;549;465;338;5.427;1.050;18.198;307;46;0;26.660
;06:4,01 a 5,00;34;22;81;291;177;138;3.850;237;4.046;90;32;8.998;6;2;21;294;27;34;1.469;175;5.543;126;48;7.745;0;0;40;24;102;585;204;172;5.319;412;9.589;216;80;0;16.743
;07:5,01 a 7,00;9;29;86;455;183;1.275;4.459;360;4.129;101;43;11.129;5;0;11;108;31;36;1.676;127;4.883;118;38;7.033;0;0;14;29;97;563;214;1.311;6.135;487;9.012;219;81;0;18.162
;08:7,01 a 10,00;9;10;41;390;113;285;1.867;121;2.703;178;83;5.800;2;0;3;28;18;23;748;47;2.782;162;79;3.892;0;0;11;10;44;418;131;308;2.615;168;5.485;340;162;0;9.692
;09:10,01 a 15,00;3;23;38;81;114;98;1.383;123;3.868;370;241;6.342;2;0;2;11;22;14;358;28;2.724;224;165;3.550;0;0;5;23;40;92;136;112;1.741;151;6.592;594;406;0;9.892
;10:15,01 a 20,00;1;9;15;14;33;19;351;29;1.706;95;166;2.438;0;0;2;0;3;4;116;17;1.032;44;70;1.288;0;0;1;9;17;14;36;23;467;46;2.738;139;236;0;3.726
;11:Mais de 20,00;0;11;2;24;22;19;359;50;1.590;106;25;2.208;0;0;1;0;1;0;90;31;838;34;9;1.004;0;0;0;11;3;24;23;19;449;81;2.428;140;34;0;3.212
;{ñ class};74;375;356;488;947;803;6.952;245;868;29;12;11.149;41;159;124;210;373;438;4.954;277;1.272;27;18;7.893;0;0;115;534;480;698;1.320;1.241;11.906;522;2.140;56;30;0;19.042
250750:João Pessoa - PB;Total;937;4.166;2.647;7.218;31.762;7.194;75.067;5.262;32.606;1.689;736;169.284;622;557;505;2.053;32.044;2.706;52.620;5.622;32.830;1.956;836;132.351;0;0;1.559;4.723;3.152;9.271;63.806;9.900;127.687;10.884;65.436;3.645;1.572;0;301.635
;00:Até 0,50;3;22;14;35;50;103;714;61;317;20;5;1.344;0;3;9;25;58;83;601;65;260;8;7;1.119;0;0;3;25;23;60;108;186;1.315;126;577;28;12;0;2.463
;01:0,51 a 1,00;73;228;123;428;2.486;589;6.846;617;1.057;109;10;12.566;14;64;48;198;2.649;441;7.629;933;1.406;213;21;13.616;0;0;87;292;171;626;5.135;1.030;14.475;1.550;2.463;322;31;0;26.182
;02:1,01 a 1,50;423;1.859;1.235;3.631;8.269;3.731;36.572;1.562;3.228;160;13;60.683;69;310;318;1.197;9.068;1.572;29.119;2.128;5.717;237;24;49.759;0;0;492;2.169;1.553;4.828;17.337;5.303;65.691;3.690;8.945;397;37;0;110.442
;03:1,51 a 2,00;97;653;514;1.255;3.914;1.111;12.552;806;2.248;99;21;23.270;25;47;48;152;5.546;182;5.712;828;3.747;131;18;16.436;0;0;122;700;562;1.407;9.460;1.293;18.264;1.634;5.995;230;39;0;39.706
;04:2,01 a 3,00;57;386;235;705;4.225;535;6.838;806;9.335;143;44;23.309;73;19;24;284;5.630;94;3.500;749;6.787;226;65;17.451;0;0;130;405;259;989;9.855;629;10.338;1.555;16.122;369;109;0;40.760
;05:3,01 a 4,00;24;159;56;218;3.395;163;1.963;401;4.261;213;38;10.891;74;9;1;37;2.809;24;898;263;4.162;215;49;8.541;0;0;98;168;57;255;6.204;187;2.861;664;8.423;428;87;0;19.432
;06:4,01 a 5,00;19;59;31;117;2.801;71;1.262;204;1.858;141;52;6.615;25;0;1;15;2.249;17;560;103;2.185;165;75;5.395;0;0;44;59;32;132;5.050;88;1.822;307;4.043;306;127;0;12.010
;07:5,01 a 7,00;78;74;40;83;2.169;74;1.001;206;2.255;175;88;6.243;256;9;2;14;2.034;17;416;115;2.508;232;108;5.711;0;0;334;83;42;97;4.203;91;1.417;321;4.763;407;196;0;11.954
;08:7,01 a 10,00;29;95;55;70;1.151;72;706;168;2.249;234;168;4.997;62;15;1;6;803;11;250;62;1.682;274;179;3.345;0;0;91;110;56;76;1.954;83;956;230;3.931;508;347;0;8.342
;09:10,01 a 15,00;17;70;37;91;622;63;671;110;2.649;241;206;4.777;4;3;2;9;355;12;282;49;1.868;176;228;2.988;0;0;21;73;39;100;977;75;953;159;4.517;417;434;0;7.765
;10:15,01 a 20,00;5;25;19;50;632;29;275;32;1.326;84;62;2.539;1;1;0;2;237;1;91;21;804;38;45;1.241;0;0;6;26;19;52;869;30;366;53;2.130;122;107;0;3.780
;11:Mais de 20,00;11;31;19;31;766;17;196;62;1.002;42;21;2.198;1;0;0;0;329;1;87;42;661;17;11;1.149;0;0;12;31;19;31;1.095;18;283;104;1.663;59;32;0;3.347
;{ñ class};101;505;269;504;1.282;636;5.471;227;821;28;8;9.852;18;77;51;114;277;251;3.475;264;1.043;24;6;5.600;0;0;119;582;320;618;1.559;887;8.946;491;1.864;52;14;0;15.452
261160:Recife - PE;Total;1.432;9.429;7.139;18.549;22.071;16.303;209.074;15.643;86.487;4.585;2.011;392.723;355;1.356;1.049;5.376;5.183;5.270;140.924;13.482;129.521;5.615;2.326;310.457;0;0;1.787;10.785;8.188;23.925;27.254;21.573;349.998;29.125;216.008;10.200;4.337;0;703.180
;00:Até 0,50;6;49;30;164;101;378;2.394;146;417;62;15;3.762;4;19;11;96;67;355;2.682;220;509;56;26;4.045;0;0;10;68;41;260;168;733;5.076;366;926;118;41;0;7.807
;01:0,51 a 1,00;68;403;406;832;1.061;992;11.414;584;1.759;199;50;17.768;32;173;84;704;494;606;12.139;880;4.127;217;64;19.520;0;0;100;576;490;1.536;1.555;1.598;23.553;1.464;5.886;416;114;0;37.288
;02:1,01 a 1,50;693;3.845;2.711;5.841;8.996;6.988;80.420;3.092;5.166;183;41;117.976;157;752;508;1.806;2.956;2.740;67.532;4.228;11.409;205;76;92.369;0;0;850;4.597;3.219;7.647;11.952;9.728;147.952;7.320;16.575;388;117;0;210.345
;03:1,51 a 2,00;229;2.284;1.868;3.458;5.088;3.525;45.688;2.239;5.493;165;39;70.076;34;131;156;1.540;595;523;26.973;2.478;13.566;217;63;46.276;0;0;263;2.415;2.024;4.998;5.683;4.048;72.661;4.717;19.059;382;102;0;116.352
;04:2,01 a 3,00;174;1.030;681;1.647;2.503;1.636;24.021;2.658;14.903;393;78;49.724;51;75;78;332;248;318;11.434;2.057;31.160;813;165;46.731;0;0;225;1.105;759;1.979;2.751;1.954;35.455;4.715;46.063;1.206;243;0;96.455
;05:3,01 a 4,00;47;240;192;725;760;381;7.959;1.334;10.458;514;121;22.731;19;20;29;164;45;64;3.358;919;17.445;856;232;23.151;0;0;66;260;221;889;805;445;11.317;2.253;27.903;1.370;353;0;45.882
;06:4,01 a 5,00;12;90;81;1.319;294;178;7.060;1.445;7.486;446;108;18.519;9;7;9;218;26;30;2.116;678;9.213;651;187;13.144;0;0;21;97;90;1.537;320;208;9.176;2.123;16.699;1.097;295;0;31.663
;07:5,01 a 7,00;13;108;103;1.001;262;247;5.924;1.443;10.746;858;277;20.982;6;15;11;92;48;45;1.998;545;14.807;1.015;328;18.910;0;0;19;123;114;1.093;310;292;7.922;1.988;25.553;1.873;605;0;39.892
;08:7,01 a 10,00;20;124;75;578;298;151;3.844;1.041;11.118;628;501;18.378;2;13;5;62;42;26;1.869;370;12.215;754;515;15.873;0;0;22;137;80;640;340;177;5.713;1.411;23.333;1.382;1.016;0;34.251
;09:10,01 a 15,00;17;152;78;261;300;191;2.665;521;8.156;514;518;13.373;3;3;4;22;70;55;1.218;214;6.491;396;490;8.966;0;0;20;155;82;283;370;246;3.883;735;14.647;910;1.008;0;22.339
;10:15,01 a 20,00;7;64;57;175;113;53;890;203;3.361;195;144;5.262;0;0;1;6;11;12;431;99;2.616;127;106;3.409;0;0;7;64;58;181;124;65;1.321;302;5.977;322;250;0;8.671
;11:Mais de 20,00;5;37;28;71;102;65;1.061;304;5.341;299;84;7.397;5;0;2;1;5;8;371;135;3.448;168;34;4.177;0;0;10;37;30;72;107;73;1.432;439;8.789;467;118;0;11.574
;{ñ class};141;1.003;829;2.477;2.193;1.518;15.734;633;2.083;129;35;26.775;33;148;151;333;576;488;8.803;659;2.515;140;40;13.886;0;0;174;1.151;980;2.810;2.769;2.006;24.537;1.292;4.598;269;75;0;40.661
270430:Maceió - AL;Total;1.221;5.647;2.561;6.497;9.151;8.238;88.928;6.687;27.413;4.219;1.107;161.669;224;751;522;1.520;3.330;3.250;60.994;5.572;37.314;7.395;1.229;122.101;0;0;1.445;6.398;3.083;8.017;12.481;11.488;149.922;12.259;64.727;11.614;2.336;0;283.770
;00:Até 0,50;7;26;5;74;54;286;912;50;172;11;0;1.597;2;10;7;47;34;282;850;62;167;12;0;1.473;0;0;9;36;12;121;88;568;1.762;112;339;23;0;0;3.070
;01:0,51 a 1,00;119;425;131;519;639;722;8.578;331;906;56;13;12.439;31;88;61;184;354;477;8.385;546;1.637;58;11;11.832;0;0;150;513;192;703;993;1.199;16.963;877;2.543;114;24;0;24.271
;02:1,01 a 1,50;495;2.412;1.101;2.776;3.948;3.183;38.078;1.189;2.430;63;13;55.688;82;418;298;893;1.892;1.518;30.585;1.807;5.362;100;19;42.974;0;0;577;2.830;1.399;3.669;5.840;4.701;68.663;2.996;7.792;163;32;0;98.662
;03:1,51 a 2,00;120;730;401;1.131;1.673;1.577;15.101;894;2.397;109;13;24.146;15;73;45;141;302;349;7.834;979;4.300;239;24;14.301;0;0;135;803;446;1.272;1.975;1.926;22.935;1.873;6.697;348;37;0;38.447
;04:2,01 a 3,00;70;446;197;641;831;980;8.751;1.109;4.140;1.087;138;18.390;15;16;8;40;131;177;4.724;948;7.372;2.522;179;16.132;0;0;85;462;205;681;962;1.157;13.475;2.057;11.512;3.609;317;0;34.522
;05:3,01 a 4,00;22;104;63;127;166;183;2.466;344;4.075;338;63;7.951;12;4;1;11;28;37;1.443;256;6.238;1.155;138;9.323;0;0;34;108;64;138;194;220;3.909;600;10.313;1.493;201;0;17.274
;06:4,01 a 5,00;18;62;34;65;91;99;2.248;1.026;3.064;334;69;7.110;8;3;0;6;25;18;848;265;3.593;732;114;5.612;0;0;26;65;34;71;116;117;3.096;1.291;6.657;1.066;183;0;12.722
;07:5,01 a 7,00;15;95;31;118;197;127;2.039;744;3.219;891;191;7.667;11;1;4;3;38;25;710;190;3.394;1.627;233;6.236;0;0;26;96;35;121;235;152;2.749;934;6.613;2.518;424;0;13.903
;08:7,01 a 10,00;5;121;62;73;114;117;1.584;436;2.073;507;215;5.307;7;0;0;3;8;16;413;96;1.619;497;207;2.866;0;0;12;121;62;76;122;133;1.997;532;3.692;1.004;422;0;8.173
;09:10,01 a 15,00;12;112;66;112;88;76;921;221;2.033;284;256;4.181;1;3;3;7;27;12;281;72;1.416;232;217;2.271;0;0;13;115;69;119;115;88;1.202;293;3.449;516;473;0;6.452
;10:15,01 a 20,00;3;58;21;36;30;18;228;49;972;212;80;1.707;0;0;0;0;3;1;76;14;524;74;49;741;0;0;3;58;21;36;33;19;304;63;1.496;286;129;0;2.448
;11:Mais de 20,00;3;21;12;30;37;25;264;77;1.203;295;49;2.016;1;0;0;0;1;6;89;32;657;110;31;927;0;0;4;21;12;30;38;31;353;109;1.860;405;80;0;2.943
;{ñ class};332;1.035;437;795;1.283;845;7.758;217;729;32;7;13.470;39;135;95;185;487;332;4.756;305;1.035;37;7;7.413;0;0;371;1.170;532;980;1.770;1.177;12.514;522;1.764;69;14;0;20.883
280030:Aracaju - SE;Total;277;2.644;1.829;5.134;7.913;7.963;69.687;6.397;21.255;1.426;280;124.805;57;433;446;1.197;3.193;3.352;51.789;5.742;32.367;1.908;309;100.793;0;0;334;3.077;2.275;6.331;11.106;11.315;121.476;12.139;53.622;3.334;589;0;225.598
;00:Até 0,50;1;18;17;80;108;406;856;98;206;13;4;1.807;3;7;14;66;100;350;906;87;206;15;7;1.761;0;0;4;25;31;146;208;756;1.762;185;412;28;11;0;3.568
;01:0,51 a 1,00;36;250;138;494;605;896;5.100;276;678;51;11;8.535;8;40;35;110;281;430;4.310;319;974;30;14;6.551;0;0;44;290;173;604;886;1.326;9.410;595;1.652;81;25;0;15.086
;02:1,01 a 1,50;125;1.110;757;1.990;2.969;3.326;27.932;1.153;1.465;54;19;40.900;26;250;287;657;1.507;1.614;26.611;1.818;3.641;50;21;36.482;0;0;151;1.360;1.044;2.647;4.476;4.940;54.543;2.971;5.106;104;40;0;77.382
;03:1,51 a 2,00;33;418;315;952;1.717;1.405;13.631;956;1.494;46;13;20.980;4;24;24;115;494;425;8.748;1.345;3.288;62;20;14.549;0;0;37;442;339;1.067;2.211;1.830;22.379;2.301;4.782;108;33;0;35.529
;04:2,01 a 3,00;10;160;154;586;798;566;7.630;989;2.408;98;30;13.429;3;8;5;51;297;133;4.437;887;5.628;139;33;11.621;0;0;13;168;159;637;1.095;699;12.067;1.876;8.036;237;63;0;25.050
;05:3,01 a 4,00;1;34;23;80;214;129;2.343;470;1.501;126;21;4.942;0;1;3;15;80;37;1.124;322;3.225;190;28;5.025;0;0;1;35;26;95;294;166;3.467;792;4.726;316;49;0;9.967
;06:4,01 a 5,00;1;26;17;73;212;108;1.941;689;1.662;140;22;4.891;0;1;2;8;41;25;588;206;2.492;263;31;3.657;0;0;1;27;19;81;253;133;2.529;895;4.154;403;53;0;8.548
;07:5,01 a 7,00;9;55;30;128;232;255;2.151;934;4.619;376;30;8.819;2;4;3;18;38;27;515;289;6.915;513;29;8.353;0;0;11;59;33;146;270;282;2.666;1.223;11.534;889;59;0;17.172
;08:7,01 a 10,00;5;52;30;98;150;111;1.243;385;2.585;199;37;4.895;1;1;1;7;17;13;345;119;2.734;334;39;3.611;0;0;6;53;31;105;167;124;1.588;504;5.319;533;76;0;8.506
;09:10,01 a 15,00;5;36;20;58;70;57;626;132;1.672;143;32;2.851;0;2;2;10;12;7;231;54;1.159;170;52;1.699;0;0;5;38;22;68;82;64;857;186;2.831;313;84;0;4.550
;10:15,01 a 20,00;1;9;10;23;22;15;210;31;862;81;11;1.275;0;1;0;0;2;5;96;9;461;82;9;665;0;0;1;10;10;23;24;20;306;40;1.323;163;20;0;1.940
;11:Mais de 20,00;1;0;1;16;20;22;232;39;1.369;67;38;1.805;0;0;0;0;1;1;91;29;748;40;20;930;0;0;1;0;1;16;21;23;323;68;2.117;107;58;0;2.735
;{ñ class};49;476;317;556;796;667;5.792;245;734;32;12;9.676;10;94;70;140;323;285;3.787;258;896;20;6;5.889;0;0;59;570;387;696;1.119;952;9.579;503;1.630;52;18;0;15.565
292740:Salvador - BA;Total;825;7.683;5.728;11.993;19.899;20.611;265.261;21.087;73.169;2.657;2.114;431.027;219;1.533;1.640;2.381;5.139;7.105;196.350;15.534;121.303;3.322;2.638;357.164;4;4;1.044;9.216;7.368;14.374;25.038;27.716;461.611;36.621;194.472;5.979;4.752;4;788.195
;00:Até 0,50;3;30;16;91;92;829;2.646;138;255;14;3;4.117;4;19;7;51;111;778;3.223;197;340;25;2;4.757;0;0;7;49;23;142;203;1.607;5.869;335;595;39;5;0;8.874
;01:0,51 a 1,00;57;390;443;550;960;1.573;19.588;699;1.294;110;31;25.695;23;127;677;259;686;1.080;29.011;1.146;3.386;193;31;36.619;0;0;80;517;1.120;809;1.646;2.653;48.599;1.845;4.680;303;62;0;62.314
;02:1,01 a 1,50;316;3.037;2.121;4.559;7.355;8.275;97.553;3.048;3.994;151;43;130.452;79;713;537;1.219;2.733;3.297;89.106;4.537;9.461;181;42;111.905;0;0;395;3.750;2.658;5.778;10.088;11.572;186.659;7.585;13.455;332;85;0;242.357
;03:1,51 a 2,00;140;1.597;1.293;2.507;4.283;3.798;45.906;2.211;4.185;157;44;66.121;28;431;120;229;442;572;25.480;2.286;9.404;167;48;39.207;0;0;168;2.028;1.413;2.736;4.725;4.370;71.386;4.497;13.589;324;92;0;105.328
;04:2,01 a 3,00;142;1.135;756;1.763;2.629;2.219;31.726;2.642;11.383;259;86;54.740;44;34;87;111;259;274;17.598;2.299;23.976;350;92;45.124;0;0;186;1.169;843;1.874;2.888;2.493;49.324;4.941;35.359;609;178;0;99.864
;05:3,01 a 4,00;49;301;172;470;967;673;11.249;1.581;7.797;207;94;23.560;15;19;29;137;144;233;6.056;993;15.925;284;113;23.948;0;0;64;320;201;607;1.111;906;17.305;2.574;23.722;491;207;0;47.508
;06:4,01 a 5,00;8;85;64;184;376;256;13.393;4.943;7.501;196;83;27.089;6;5;22;35;59;55;3.577;1.320;12.497;284;116;17.976;0;0;14;90;86;219;435;311;16.970;6.263;19.998;480;199;0;45.065
