;;Sexo Trabalhador;Escolaridade após 2005
;06:4,01 a 5,00;11;61;67;354;601;384;5.948;1.851;10.966;288;107;20.638;2;9;7;40;132;93;5.060;1.219;14.156;496;162;21.376;0;0;13;70;74;394;733;477;11.008;3.070;25.122;784;269;0;42.014
;07:5,01 a 7,00;17;52;47;287;431;310;5.802;2.257;15.848;509;192;25.752;1;4;9;28;105;102;3.566;1.125;15.368;743;237;21.288;0;0;18;56;56;315;536;412;9.368;3.382;31.216;1.252;429;0;47.040
;08:7,01 a 10,00;8;20;20;168;379;269;4.383;1.512;13.664;609;271;21.303;1;5;6;16;73;84;2.343;586;13.149;893;370;17.526;0;0;9;25;26;184;452;353;6.726;2.098;26.813;1.502;641;0;38.829
;09:10,01 a 15,00;7;32;29;101;196;147;2.565;887;13.120;568;376;18.028;1;2;2;23;55;62;1.315;317;10.143;658;492;13.070;0;0;8;34;31;124;251;209;3.880;1.204;23.263;1.226;868;0;31.098
;10:15,01 a 20,00;6;7;13;66;89;95;838;252;6.108;297;190;7.961;0;0;3;12;27;44;478;126;4.348;261;196;5.495;0;0;6;7;16;78;116;139;1.316;378;10.456;558;386;0;13.456
;11:Mais de 20,00;5;16;18;132;165;135;1.155;442;7.389;484;270;10.211;1;1;1;9;15;29;744;266;4.815;282;158;6.321;0;0;6;17;19;141;180;164;1.899;708;12.204;766;428;0;16.532
;{ñ class};79;662;634;2.556;3.588;1.669;12.264;731;1.848;108;50;24.189;40;284;315;1.190;2.271;1.337;11.216;989;2.138;110;37;19.927;2;2;119;946;949;3.746;5.859;3.006;23.480;1.720;3.986;218;87;2;44.118
500270:Campo Grande - MS;Total;365;2.498;1.910;6.601;10.891;10.988;80.205;7.000;33.412;1.770;1.020;156.660;193;1.245;941;2.761;6.686;6.600;69.184;7.331;52.439;1.913;1.106;150.399;0;0;558;3.743;2.851;9.362;17.577;17.588;149.389;14.331;85.851;3.683;2.126;0;307.059
;00:Até 0,50;3;22;10;87;94;509;611;41;145;8;1;1.531;3;20;7;95;122;481;808;59;220;5;4;1.824;0;0;6;42;17;182;216;990;1.419;100;365;13;5;0;3.355
;01:0,51 a 1,00;26;185;75;357;659;1.289;4.119;314;598;46;7;7.675;22;206;124;397;690;1.379;6.177;469;1.057;42;3;10.566;0;0;48;391;199;754;1.349;2.668;10.296;783;1.655;88;10;0;18.241
;02:1,01 a 1,50;146;706;497;1.851;3.095;3.338;24.489;1.476;1.669;41;11;37.319;88;613;481;1.280;3.146;2.700;30.065;2.280;4.228;51;14;44.946;0;0;234;1.319;978;3.131;6.241;6.038;54.554;3.756;5.897;92;25;0;82.265
;03:1,51 a 2,00;51;528;395;1.466;2.577;2.108;17.370;1.126;1.905;35;8;27.569;25;165;106;335;869;705;11.692;1.426;3.754;54;22;19.153;0;0;76;693;501;1.801;3.446;2.813;29.062;2.552;5.659;89;30;0;46.722
;04:2,01 a 3,00;50;424;375;1.207;2.015;1.564;14.002;1.430;4.130;96;20;25.313;14;54;41;101;646;330;8.201;1.266;9.085;165;54;19.957;0;0;64;478;416;1.308;2.661;1.894;22.203;2.696;13.215;261;74;0;45.270
;05:3,01 a 4,00;9;106;105;311;569;431;4.928;756;3.529;140;28;10.912;5;11;6;17;237;89;2.688;554;6.970;176;31;10.784;0;0;14;117;111;328;806;520;7.616;1.310;10.499;316;59;0;21.696
;06:4,01 a 5,00;3;47;35;159;243;186;2.510;505;4.078;209;71;8.046;3;6;3;8;47;63;1.357;372;7.781;248;92;9.980;0;0;6;53;38;167;290;249;3.867;877;11.859;457;163;0;18.026
;07:5,01 a 7,00;7;38;26;93;140;176;1.931;401;5.058;332;75;8.277;0;7;0;15;27;51;874;238;7.919;438;100;9.669;0;0;7;45;26;108;167;227;2.805;639;12.977;770;175;0;17.946
;08:7,01 a 10,00;2;19;15;34;66;83;900;279;4.252;288;202;6.140;0;1;2;7;20;22;373;105;4.452;318;249;5.549;0;0;2;20;17;41;86;105;1.273;384;8.704;606;451;0;11.689
;09:10,01 a 15,00;3;15;17;28;43;50;754;212;3.516;369;332;5.339;1;0;2;0;19;23;291;78;3.297;285;326;4.322;0;0;4;15;19;28;62;73;1.045;290;6.813;654;658;0;9.661
;10:15,01 a 20,00;2;12;5;19;35;26;298;38;1.553;87;190;2.265;1;3;2;0;8;11;136;44;1.215;70;156;1.646;0;0;3;15;7;19;43;37;434;82;2.768;157;346;0;3.911
;11:Mais de 20,00;8;10;12;28;51;36;479;83;2.281;101;71;3.160;2;0;1;1;5;14;153;49;1.220;46;52;1.543;0;0;10;10;13;29;56;50;632;132;3.501;147;123;0;4.703
;{ñ class};55;386;343;961;1.304;1.192;7.814;339;698;18;4;13.114;29;159;166;505;850;732;6.369;391;1.241;15;3;10.460;0;0;84;545;509;1.466;2.154;1.924;14.183;730;1.939;33;7;0;23.574
510340:Cuiabá - MT;Total;269;1.670;1.226;3.404;6.339;8.351;93.658;4.380;34.471;1.217;581;155.566;77;472;447;1.025;2.548;4.427;76.908;4.599;38.276;1.621;654;131.054;0;0;346;2.142;1.673;4.429;8.887;12.778;170.566;8.979;72.747;2.838;1.235;0;286.620
;00:Até 0,50;1;10;2;57;47;437;421;24;36;2;3;1.040;1;4;6;44;42;459;515;29;53;5;2;1.160;0;0;2;14;8;101;89;896;936;53;89;7;5;0;2.200
;01:0,51 a 1,00;16;63;40;126;233;836;3.681;151;225;19;6;5.396;10;58;48;125;252;839;4.536;218;412;22;8;6.528;0;0;26;121;88;251;485;1.675;8.217;369;637;41;14;0;11.924
;02:1,01 a 1,50;106;452;309;714;1.547;2.385;22.358;837;1.167;28;4;29.907;40;239;214;487;1.261;1.884;25.694;1.408;2.702;39;9;33.977;0;0;146;691;523;1.201;2.808;4.269;48.052;2.245;3.869;67;13;0;63.884
;03:1,51 a 2,00;55;434;309;806;1.620;1.751;18.961;836;1.601;49;8;26.430;12;57;67;142;365;518;12.065;943;3.283;95;4;17.551;0;0;67;491;376;948;1.985;2.269;31.026;1.779;4.884;144;12;0;43.981
;04:2,01 a 3,00;19;288;225;776;1.195;1.318;14.134;1.020;2.803;38;12;21.828;2;20;22;45;133;205;8.464;861;5.986;81;15;15.834;0;0;21;308;247;821;1.328;1.523;22.598;1.881;8.789;119;27;0;37.662
;05:3,01 a 4,00;6;86;79;252;426;461;6.117;453;2.583;116;8;10.587;3;10;8;8;47;52;4.747;321;5.969;171;17;11.353;0;0;9;96;87;260;473;513;10.864;774;8.552;287;25;0;21.940
;06:4,01 a 5,00;4;41;22;129;207;150;3.124;234;2.346;77;38;6.372;1;1;3;2;32;37;2.510;159;3.743;145;49;6.682;0;0;5;42;25;131;239;187;5.634;393;6.089;222;87;0;13.054
;07:5,01 a 7,00;4;30;12;49;118;112;4.651;227;7.279;270;38;12.790;0;3;1;3;27;18;5.504;142;6.008;453;70;12.229;0;0;4;33;13;52;145;130;10.155;369;13.287;723;108;0;25.019
;08:7,01 a 10,00;1;12;11;22;47;61;5.802;135;7.185;225;138;13.639;0;3;0;7;17;16;2.602;67;3.791;331;157;6.991;0;0;1;15;11;29;64;77;8.404;202;10.976;556;295;0;20.630
;09:10,01 a 15,00;1;13;7;17;43;37;2.481;83;4.631;197;199;7.709;1;1;1;6;19;16;2.152;45;2.522;160;177;5.100;0;0;2;14;8;23;62;53;4.633;128;7.153;357;376;0;12.809
;10:15,01 a 20,00;0;9;1;14;11;22;1.312;43;1.466;23;82;2.983;0;0;0;1;11;8;1.167;18;846;17;48;2.116;0;0;0;9;1;15;22;30;2.479;61;2.312;40;130;0;5.099
;11:Mais de 20,00;2;6;9;27;26;40;1.516;83;2.072;149;21;3.951;0;0;0;1;3;8;612;53;1.091;72;10;1.850;0;0;2;6;9;28;29;48;2.128;136;3.163;221;31;0;5.801
;{ñ class};54;226;200;415;819;741;9.100;254;1.077;24;24;12.934;7;76;77;154;339;367;6.340;335;1.870;30;88;9.683;0;0;61;302;277;569;1.158;1.108;15.440;589;2.947;54;112;0;22.617
520870:Goiânia - GO;Total;950;5.672;4.429;17.412;20.099;22.214;186.615;10.881;63.283;2.191;1.306;335.052;469;1.550;1.727;7.410;11.093;13.773;149.584;12.250;106.821;2.067;1.213;307.957;0;0;1.419;7.222;6.156;24.822;31.192;35.987;336.199;23.131;170.104;4.258;2.519;0;643.009
;00:Até 0,50;7;34;21;1.967;101;3.137;1.203;99;337;46;6;6.958;3;21;15;1.609;92;3.552;1.519;138;270;26;3;7.248;0;0;10;55;36;3.576;193;6.689;2.722;237;607;72;9;0;14.206
;01:0,51 a 1,00;74;223;171;572;909;1.856;10.244;515;1.569;88;12;16.233;34;121;129;468;917;1.675;12.158;780;2.243;75;17;18.617;0;0;108;344;300;1.040;1.826;3.531;22.402;1.295;3.812;163;29;0;34.850
;02:1,01 a 1,50;346;1.556;1.154;4.365;5.627;6.581;57.800;2.514;5.931;125;21;86.020;255;882;936;2.430;5.215;5.033;64.809;4.011;14.007;100;25;97.703;0;0;601;2.438;2.090;6.795;10.842;11.614;122.609;6.525;19.938;225;46;0;183.723
;03:1,51 a 2,00;208;1.019;855;2.812;4.154;3.720;36.019;1.920;5.343;94;18;56.162;60;193;250;954;1.906;1.391;27.220;2.467;11.526;109;28;46.104;0;0;268;1.212;1.105;3.766;6.060;5.111;63.239;4.387;16.869;203;46;0;102.266
;04:2,01 a 3,00;114;1.094;955;3.427;3.730;2.906;28.064;2.290;7.577;170;43;50.370;29;66;110;819;1.180;637;16.831;2.127;15.841;211;51;37.902;0;0;143;1.160;1.065;4.246;4.910;3.543;44.895;4.417;23.418;381;94;0;88.272
;05:3,01 a 4,00;33;282;298;1.123;1.157;915;10.201;1.055;7.551;193;75;22.883;8;9;15;258;310;149;6.376;843;14.689;215;45;22.917;0;0;41;291;313;1.381;1.467;1.064;16.577;1.898;22.240;408;120;0;45.800
;06:4,01 a 5,00;16;113;78;360;735;334;6.064;563;5.678;140;54;14.135;1;5;6;64;124;58;3.445;386;12.810;162;64;17.125;0;0;17;118;84;424;859;392;9.509;949;18.488;302;118;0;31.260
;07:5,01 a 7,00;7;96;62;321;737;319;10.827;592;8.564;235;75;21.835;4;7;9;51;92;46;3.367;275;15.066;265;90;19.272;0;0;11;103;71;372;829;365;14.194;867;23.630;500;165;0;41.107
;08:7,01 a 10,00;7;104;51;321;270;162;7.036;331;7.544;292;246;16.364;3;5;2;55;38;29;1.765;179;9.174;357;240;11.847;0;0;10;109;53;376;308;191;8.801;510;16.718;649;486;0;28.211
;09:10,01 a 15,00;4;72;22;73;104;93;2.158;206;4.995;438;502;8.667;2;3;1;11;16;21;739;123;4.503;330;509;6.258;0;0;6;75;23;84;120;114;2.897;329;9.498;768;1.011;0;14.925
;10:15,01 a 20,00;1;30;9;29;46;51;875;58;2.639;142;172;4.052;0;0;0;6;8;6;359;56;2.073;61;89;2.658;0;0;1;30;9;35;54;57;1.234;114;4.712;203;261;0;6.710
;11:Mais de 20,00;1;47;14;50;56;80;970;132;3.704;88;46;5.188;0;0;4;1;4;15;469;127;2.420;51;20;3.111;0;0;1;47;18;51;60;95;1.439;259;6.124;139;66;0;8.299
;{ñ class};132;1.002;739;1.992;2.473;2.060;15.154;606;1.851;140;36;26.185;70;238;250;684;1.191;1.161;10.527;738;2.199;105;32;17.195;0;0;202;1.240;989;2.676;3.664;3.221;25.681;1.344;4.050;245;68;0;43.380
530010:Brasília - DF;Total;1.434;9.895;7.295;22.715;46.887;34.197;332.374;25.806;209.931;9.761;4.842;705.137;517;2.376;2.130;9.186;20.917;18.847;232.317;27.549;216.804;10.253;4.019;544.915;1;1;1.951;12.271;9.425;31.901;67.804;53.044;564.691;53.355;426.735;20.014;8.861;1;1.250.053
;00:Até 0,50;10;48;31;746;235;2.179;2.335;237;881;30;23;6.755;2;19;18;447;179;2.227;2.364;261;753;30;6;6.306;0;0;12;67;49;1.193;414;4.406;4.699;498;1.634;60;29;0;13.061
;01:0,51 a 1,00;79;544;234;1.395;2.391;2.659;16.069;1.059;3.123;110;16;27.679;42;156;100;662;1.049;2.202;14.940;1.428;3.190;90;23;23.882;0;0;121;700;334;2.057;3.440;4.861;31.009;2.487;6.313;200;39;0;51.561
;02:1,01 a 1,50;606;3.263;2.382;6.959;13.767;11.510;95.979;5.197;8.589;171;65;148.488;309;1.408;1.201;5.110;11.358;8.735;98.127;7.446;13.720;177;45;147.636;0;0;915;4.671;3.583;12.069;25.125;20.245;194.106;12.643;22.309;348;110;0;296.124
;03:1,51 a 2,00;230;2.397;1.801;4.245;9.417;5.972;50.196;3.807;7.443;199;58;85.765;58;211;232;959;2.825;1.855;32.882;4.012;11.655;194;55;54.938;0;0;288;2.608;2.033;5.204;12.242;7.827;83.078;7.819;19.098;393;113;0;140.703
;04:2,01 a 3,00;151;1.375;1.100;3.310;7.600;4.129;46.110;4.682;13.246;344;131;82.178;30;110;96;481;1.536;1.036;23.742;4.325;20.285;364;125;52.130;0;0;181;1.485;1.196;3.791;9.136;5.165;69.852;9.007;33.531;708;256;0;134.308
;05:3,01 a 4,00;33;355;279;1.322;2.565;1.496;19.681;2.738;11.669;455;152;40.745;4;18;16;132;373;241;10.485;2.232;18.270;494;137;32.402;0;0;37;373;295;1.454;2.938;1.737;30.166;4.970;29.939;949;289;0;73.147
;06:4,01 a 5,00;15;201;120;736;1.069;526;13.825;1.716;11.633;370;181;30.392;4;23;18;130;276;120;9.701;2.223;17.576;568;182;30.821;0;0;19;224;138;866;1.345;646;23.526;3.939;29.209;938;363;0;61.213
;07:5,01 a 7,00;37;166;136;690;760;741;20.378;1.983;22.533;967;332;48.723;3;20;11;96;140;119;7.917;1.903;28.680;1.437;392;40.718;0;0;40;186;147;786;900;860;28.295;3.886;51.213;2.404;724;0;89.441
;08:7,01 a 10,00;17;159;79;412;2.088;410;20.801;1.194;32.124;1.485;536;59.305;7;12;11;47;140;88;4.755;806;38.369;2.426;534;47.195;0;0;24;171;90;459;2.228;498;25.556;2.000;70.493;3.911;1.070;0;106.500
;09:10,01 a 15,00;11;128;73;195;778;322;11.457;842;40.365;1.931;1.248;57.350;0;13;6;38;97;82;2.089;462;28.823;2.211;1.156;34.977;0;0;11;141;79;233;875;404;13.546;1.304;69.188;4.142;2.404;0;92.327
;10:15,01 a 20,00;4;69;37;97;235;111;1.599;303;24.097;1.158;944;28.654;2;2;1;8;22;34;722;162;13.157;946;767;15.823;0;0;6;71;38;105;257;145;2.321;465;37.254;2.104;1.711;0;44.477
;11:Mais de 20,00;9;58;31;84;254;105;1.746;352;27.242;2.113;967;32.961;1;0;7;12;63;25;1.038;203;14.732;1.022;457;17.560;0;0;10;58;38;96;317;130;2.784;555;41.974;3.135;1.424;0;50.521
;{ñ class};232;1.132;992;2.524;5.728;4.037;32.198;1.696;6.986;428;189;56.142;55;384;413;1.064;2.859;2.083;23.555;2.086;7.594;294;140;40.527;1;1;287;1.516;1.405;3.588;8.587;6.120;55.753;3.782;14.580;722;329;1;96.670
{ñ class};Total;111.048;612.509;507.471;1.115.714;1.767.015;1.423.205;10.693.550;606.787;2.048.598;70.569;40.854;18.997.320;36.356;178.122;177.786;421.964;796.274;709.610;7.716.604;655.173;3.522.457;111.347;50.967;14.376.660;37;37;147.404;790.631;685.257;1.537.678;2.563.289;2.132.815;18.410.154;1.261.960;5.571.055;181.916;91.821;37;33.374.017
;00:Até 0,50;608;2.345;1.825;8.698;8.893;33.222;65.785;3.326;10.350;722;268;136.042;405;1.648;1.603;6.713;8.144;31.101;73.579;4.970;14.609;791;299;143.862;0;0;1.013;3.993;3.428;15.411;17.037;64.323;139.364;8.296;24.959;1.513;567;0;279.904
;01:0,51 a 1,00;11.912;39.338;25.436;61.569;90.512;129.349;613.348;23.899;55.058;3.252;927;1.054.600;4.250;18.201;15.685;41.385;73.572;111.052;729.561;45.922;110.002;3.468;1.082;1.154.180;0;0;16.162;57.539;41.121;102.954;164.084;240.401;1.342.909;69.821;165.060;6.720;2.009;0;2.208.780
;02:1,01 a 1,50;42.957;194.468;135.679;312.845;476.108;440.303;3.015.134;112.490;156.985;4.412;1.448;4.892.829;15.763;88.965;82.652;207.797;379.814;322.611;3.369.784;203.683;409.666;5.862;1.992;5.088.589;0;0;58.720;283.433;218.331;520.642;855.922;762.914;6.384.918;316.173;566.651;10.274;3.440;0;9.981.418
;03:1,51 a 2,00;22.863;140.838;113.697;263.101;411.917;322.891;2.403.386;109.620;185.342;3.921;1.523;3.979.099;7.183;35.437;36.580;87.903;167.244;130.645;1.665.666;142.994;444.980;6.609;3.262;2.728.503;0;0;30.046;176.275;150.277;351.004;579.161;453.536;4.069.052;252.614;630.322;10.530;4.785;0;6.707.602
;04:2,01 a 3,00;13.441;110.475;108.177;234.351;381.841;254.928;2.182.008;131.709;336.839;8.158;3.044;3.764.971;2.778;11.431;15.303;28.975;74.508;49.370;967.499;124.626;793.137;17.461;7.178;2.092.266;0;0;16.219;121.906;123.480;263.326;456.349;304.298;3.149.507;256.335;1.129.976;25.619;10.222;0;5.857.237
;05:3,01 a 4,00;2.664;29.742;34.442;74.408;128.118;77.475;816.986;71.884;270.673;7.594;2.619;1.516.605;892;1.376;2.252;3.964;13.102;9.327;249.878;49.049;598.925;17.997;5.535;952.297;0;0;3.556;31.118;36.694;78.372;141.220;86.802;1.066.864;120.933;869.598;25.591;8.154;0;2.468.902
;06:4,01 a 5,00;1.032;9.239;11.494;24.511;47.035;27.543;358.823;39.108;195.958;6.181;2.144;723.068;469;492;695;1.322;4.512;3.431;92.873;22.167;370.819;13.794;4.207;514.781;0;0;1.501;9.731;12.189;25.833;51.547;30.974;451.696;61.275;566.777;19.975;6.351;0;1.237.849
;07:5,01 a 7,00;821;5.665;6.691;14.554;30.170;18.922;280.607;41.889;247.272;8.996;3.292;658.879;377;408;749;1.049;3.580;3.142;70.249;18.111;356.612;18.419;5.193;477.889;0;0;1.198;6.073;7.440;15.603;33.750;22.064;350.856;60.000;603.884;27.415;8.485;0;1.136.768
;08:7,01 a 10,00;623;3.158;2.686;6.725;12.948;9.764;130.100;24.063;206.740;8.860;5.889;411.556;214;312;402;877;2.146;2.030;35.309;8.236;177.854;13.523;6.774;247.677;0;0;837;3.470;3.088;7.602;15.094;11.794;165.409;32.299;384.594;22.383;12.663;0;659.233
;09:10,01 a 15,00;571;3.210;2.158;5.575;9.334;6.749;73.116;13.216;160.033;8.241;10.659;292.862;206;379;308;1.307;2.032;1.877;28.679;4.766;86.184;7.221;9.500;142.459;0;0;777;3.589;2.466;6.882;11.366;8.626;101.795;17.982;246.217;15.462;20.159;0;435.321
;10:15,01 a 20,00;322;2.028;1.363;3.709;5.030;3.709;34.211;5.035;66.384;3.148;4.809;129.748;154;222;309;1.183;1.328;1.401;16.293;2.656;30.056;1.775;3.320;58.697;0;0;476;2.250;1.672;4.892;6.358;5.110;50.504;7.691;96.440;4.923;8.129;0;188.445
;11:Mais de 20,00;797;4.310;2.405;5.953;9.051;5.639;58.238;10.390;92.979;4.164;3.131;197.057;174;111;151;446;860;947;17.310;5.435;47.119;1.745;1.623;75.921;0;0;971;4.421;2.556;6.399;9.911;6.586;75.548;15.825;140.098;5.909;4.754;0;272.978
;{ñ class};12.437;67.693;61.418;99.715;156.058;92.711;661.808;20.158;63.985;2.920;1.101;1.240.004;3.491;19.140;21.097;39.043;65.432;42.676;399.924;22.558;82.494;2.682;1.002;699.539;37;37;15.928;86.833;82.515;138.758;221.490;135.387;1.061.732;42.716;146.479;5.602;2.103;37;1.939.580
Total;Total;139.985;798.690;658.232;1.493.192;2.501.789;1.951.101;16.124.321;1.076.365;4.430.825;173.429;96.483;29.444.412;47.925;240.482;230.985;575.295;1.172.111;990.564;11.895.458;1.115.869;6.734.264;235.748;107.695;23.346.396;56;56;187.910;1.039.172;889.217;2.068.487;3.673.900;2.941.665;28.019.779;2.192.234;11.165.089;409.177;204.178;56;52.790.864
;00:Até 0,50;762;3.036;2.336;14.606;12.974;53.189;111.873;6.641;20.823;1.203;461;227.904;588;2.168;2.146;11.470;13.919;52.370;127.707;8.947;26.522;1.241;487;247.565;0;0;1.350;5.204;4.482;26.076;26.893;105.559;239.580;15.588;47.345;2.444;948;0;475.469
;01:0,51 a 1,00;13.474;48.260;30.288;77.218;123.376;172.297;894.296;39.989;92.971;5.267;1.497;1.498.933;5.236;26.019;20.223;55.159;107.274;153.244;1.081.012;70.486;168.226;5.564;1.701;1.694.144;0;0;18.710;74.279;50.511;132.377;230.650;325.541;1.975.308;110.475;261.197;10.831;3.198;0;3.193.077
;02:1,01 a 1,50;52.488;246.464;173.455;416.119;682.986;604.710;4.590.748;181.858;264.125;7.259;2.445;7.222.657;20.938;122.476;108.806;284.557;560.173;445.774;5.067.441;315.202;635.881;9.092;3.437;7.573.777;0;0;73.426;368.940;282.261;700.676;1.243.159;1.050.484;9.658.189;497.060;900.006;16.351;5.882;0;14.796.434
;03:1,51 a 2,00;28.394;181.230;146.195;345.386;574.256;431.061;3.478.055;174.690;304.134;7.192;2.534;5.673.127;8.724;43.543;44.949;112.512;228.360;170.508;2.414.663;222.914;683.567;11.195;4.629;3.945.564;0;0;37.118;224.773;191.144;457.898;802.616;601.569;5.892.718;397.604;987.701;18.387;7.163;0;9.618.691
;04:2,01 a 3,00;17.904;142.948;137.494;307.894;519.632;335.414;3.096.745;218.966;597.017;16.171;5.904;5.396.089;3.636;14.521;18.588;39.011;106.866;67.260;1.496.668;216.316;1.324.628;31.247;11.973;3.330.714;0;0;21.540;157.469;156.082;346.905;626.498;402.674;4.593.413;435.282;1.921.645;47.418;17.877;0;8.726.803
;05:3,01 a 4,00;4.040;40.206;45.755;98.902;176.466;102.208;1.185.591;129.061;519.437;16.998;5.348;2.324.012;1.231;2.074;3.077;6.531;23.340;14.077;441.439;95.732;1.051.640;35.084;10.199;1.684.424;0;0;5.271;42.280;48.832;105.433;199.806;116.285;1.627.030;224.793;1.571.077;52.082;15.547;0;4.008.436
;06:4,01 a 5,00;1.556;13.128;15.460;35.410;68.836;37.423;586.433;82.745;411.473;13.753;4.835;1.271.052;639;782;1.091;2.786;10.109;5.443;193.631;50.065;714.687;26.876;8.889;1.014.998;0;0;2.195;13.910;16.551;38.196;78.945;42.866;780.064;132.810;1.126.160;40.629;13.724;0;2.286.050
;07:5,01 a 7,00;1.381;9.760;9.545;22.286;46.077;30.042;521.594;90.694;591.121;22.494;8.721;1.353.715;790;897;1.064;1.997;7.989;5.140;159.810;42.620;818.708;39.736;11.488;1.090.239;0;0;2.171;10.657;10.609;24.283;54.066;35.182;681.404;133.314;1.409.829;62.230;20.209;0;2.443.954
;08:7,01 a 10,00;1.070;9.201;4.566;11.120;23.929;16.948;277.012;50.659;532.676;23.391;16.396;966.968;448;912;592;1.475;4.423;3.440;89.309;20.771;533.540;32.674;16.640;704.224;0;0;1.518;10.113;5.158;12.595;28.352;20.388;366.321;71.430;1.066.216;56.065;33.036;0;1.671.192
;09:10,01 a 15,00;990;5.535;4.025;8.426;15.964;12.063;155.943;32.201;457.524;24.420;24.083;741.174;360;601;510;1.853;3.696;3.101;63.847;12.127;317.475;22.041;22.338;447.949;0;0;1.350;6.136;4.535;10.279;19.660;15.164;219.790;44.328;774.999;46.461;46.421;0;1.189.123
;10:15,01 a 20,00;461;3.233;2.048;5.220;8.117;5.444;59.580;10.513;215.665;10.878;12.230;333.389;192;292;394;1.390;2.111;1.972;32.024;5.754;126.785;7.129;8.842;186.885;0;0;653;3.525;2.442;6.610;10.228;7.416;91.604;16.267;342.450;18.007;21.072;0;520.274
;11:Mais de 20,00;1.030;5.443;3.133;7.724;13.701;7.975;90.856;19.706;296.986;18.300;9.540;474.394;242;157;216;558;1.598;1.448;36.512;11.522;171.844;8.699;5.020;237.816;0;0;1.272;5.600;3.349;8.282;15.299;9.423;127.368;31.228;468.830;26.999;14.560;0;712.210
;{ñ class};16.435;90.246;83.932;142.881;235.475;142.327;1.075.595;38.642;126.873;6.103;2.489;1.960.998;4.901;26.040;29.329;55.996;102.253;66.787;691.395;43.413;160.761;5.170;2.052;1.188.097;56;56;21.336;116.286;113.261;198.877;337.728;209.114;1.766.990;82.055;287.634;11.273;4.541;56;3.149.151

Seleções vigentes
Variável;Critério;Valor
Ano;igual a;2022
Vínculo Ativo 31/12;igual a;Sim
